Options,Statement,Location,Variables,Num of config var,Num of program var,,,,
lower_case_file_system,if (lower_case_file_system),n,1,0,bool,,,,
lower_case_file_system,if (lower_case_file_system && !schema.empty()),y,1,1,bool,,,,
lower_case_file_system,if (!update_space && lower_case_file_system),n,1,1,bool,,,,
lower_case_table_names,if (lower_case_table_names != 65541),n,1,0,num,,,,
lower_case_table_names,if (lower_case_table_names == 2),n,1,0,num,,,,
lower_case_table_names,if (lower_case_table_names != 2 || (file->ha_table_flags() & 1<<26)),y,1,1,num,,,,
lower_case_table_names,if (lower_case_table_names == 1 ||(lower_case_table_names == 2 && !alias_name_used())),y,1,0,num,,,,
lower_case_table_names,if (db_name && lower_case_table_names),n,1,1,num,,,,
lower_case_table_names,if (lower_case_table_names),n,1,0,num,,,,
lower_case_table_names,if (lower_case_table_names && m_name.length),n,1,1,num,,,,
lower_case_table_names,"if (db && (lower_case_table_names || is_infoschema_db(db, strlen(db))))",y,1,1,num,,,,
lower_case_table_names,if (lower_case_table_names == 1),n,1,0,num,,,,
lower_case_table_names,if (lower_case_table_names && table_name->table.length),n,1,1,num,,,,
lower_case_table_names,if (lower_case_table_names && dbname != any_db),n,1,1,num,,,,
lower_case_table_names,if (lower_case_table_names != 1),n,1,0,num,,,,
lower_case_table_names,if (lower_case_table_names || is_routine),n,1,1,num,,,,
lower_case_table_names,if (lower_case_table_names == 0),n,1,0,num,,,,
lower_case_table_names,if (lower_case_table_names && table_name_length),n,1,1,num,,,,
lower_case_table_names,if (lower_case_table_names >= 1) ,n,1,0,num,,,,
max_allowed_packet,"if (mysql_get_option(nullptr, MYSQL_OPT_MAX_ALLOWED_PACKET,&opt_max_allowed_packet) ||
 mysql_get_option(nullptr, MYSQL_OPT_NET_BUFFER_LENGTH,&opt_max_allowed_packet))",y,1,0,num,,,,
max_allowed_packet,if (str->length() > current_thd->variables.max_allowed_packet),y,1,1,num,,,,
max_allowed_packet,if (res->length() + tmp_value.length() >thd->variables.max_allowed_packet),y,1,2,num,,,,
max_allowed_packet,if (tmp_value.length() + sep_str->length() + res->length() >thd->variables.max_allowed_packet),y,1,3,num,,,,
max_allowed_packet,if (length > current_thd->variables.max_allowed_packet / (uint)count),n,1,2,num,,,,
max_allowed_packet,if (tot_length > current_thd->variables.max_allowed_packet),n,1,1,num,,,,
max_allowed_packet,if (target_byte_size > current_thd->variables.max_allowed_packet),n,1,1,num,,,,
max_allowed_packet,if (m_cast_length >= 0 && static_cast<ulonglong>(m_cast_length) >thd->variables.max_allowed_packet),n,1,1,num,,,,
max_allowed_packet,if (tmp_value.length() > current_thd->variables.max_allowed_packet),y,1,1,num,,,,
max_allowed_packet,if (max_total_length > max_allowed_packet),n,1,1,num,,,,
max_allowed_packet,if (new_length > current_thd->variables.max_allowed_packet),n,1,1,num,,,,
"max_allowed_packet,net_buffer_length",if (global_system_variables.net_buffer_length >global_system_variables.max_allowed_packet),n,2,0,num,,,,
max_allowed_packet,if (result == OK && dest->length() > thd->variables.max_allowed_packet),y,1,2,num,,,,
max_allowed_packet,if (buffer->length() > current_thd->variables.max_allowed_packet),y,1,1,num,,,,
max_connect_errors,if (client_ip.second >= max_connect_errors_),n,1,1,num,,,,
max_connect_errors,if (entry->m_errors.m_connect >= max_connect_errors),n,1,1,num,,,,
max_connections,if ((default_value = 8 + max_connections / 100) > 100),n,1,1,num,,,,
max_connections ,if ((default_value = 128 + max_connections) > 628 &&(default_value = 628 + ((max_connections - 500) / 20)) > 2000),n,1,1,num,,,,
"thread_cache_size, max_connections ",if (!thread_cache_size_specified &&(max_blocked_pthreads =8 + max_connections / 100) > 100),n,2,1,num,,,,
max_connections,if (connection_count > max_connections && !is_admin_connection),n,1,2,num,,,,
max_connections,if (back_log == 0 && (back_log = max_connections) > 65535),n,1,1,num,,,,
max_connections,if (limit < max_connections),n,1,1,num,,,,
max_connections,if (limit < table_cache_size),n,1,1,num,,,,
max_connections,if (connection_count > max_connections),n,1,1,num,,,,
max_digest_length,if (max_digest_length > 0),n,1,0,num,,,,
max_digest_length,if (current_byte > max_digest_length),n,1,1,num,,,,
max_digest_length,if (max_digest_length != 0),n,1,0,num,,,,
max_digest_length,if (pfs_max_digest_length > 0),n,1,0,num,,,,
max_digest_length,if (safe_byte_count > 0 && safe_byte_count <= pfs_max_digest_length),n,1,1,num,,,,
max_digest_length,if (safe_byte_count > pfs_max_digest_length),n,1,1,num,,,,
max_error_count,if (expected_errors->count() >= MAX_ERROR_COUNT),y,1,1,num,,,,
max_error_count,if (m_allow_unlimited_conditions ||m_conditions_list.elements() < thd->variables.max_error_count),y,1,2,num,,,,
max_heap_table_size,if (rowlen * distinct_rowcount < join->thd->variables.max_heap_table_size),n,1,2,num,,,,
max_heap_table_size,if (tab->table()->s->reclength * inner_query_rowcount < thd->variables.max_heap_table_size),y,1,2,num,,,,
max_heap_table_size,if (outer_fanout * rowsize < thd->variables.max_heap_table_size),n,1,2,num,,,,
max_heap_table_size,if (subquery.row_width * num_rows < thd->variables.max_heap_table_size),n,1,2,num,,,,
max_join_size,if (global_system_variables.max_join_size == 0),n,1,0,num,,,,
max_prepared_stmt_count,if (prepared_stmt_count >= max_prepared_stmt_count),n,1,1,num,,,,
max_user_connections,if (global_system_variables.max_user_connections &&!uc->user_resources.user_conn &&global_system_variables.max_user_connections < (uint)uc->connections &&!thd->is_admin_connection()),y,1,3,num,,,,
max_user_connections,"if ((uc = thd->get_user_connect()) &&(uc->user_resources.conn_per_hour || uc->user_resources.user_conn ||global_system_variables.max_user_connections) &&check_for_max_user_connections(thd, uc))",y,1,5,num,,,,
max_write_lock_count,if (lock->write_lock_count++ > max_write_lock_count),n,1,1,num,,,,
max_write_lock_count,if (m_piglet_lock_count >= max_write_lock_count),n,1,1,num,,,,
max_write_lock_count,if (m_hog_lock_count >= max_write_lock_count),n,1,1,num,,,,
named_pipe,if (opt_enable_named_pipe),n,1,0,bool,,,,
named_pipe,if (named_pipe_listener == NULL),n,1,0,bool,,,,
net_buffer_length,if (total_length + row_length < opt_net_buffer_length),n,1,2,num,,,,
net_buffer_length,if (arg_length < m_alloced_length),n,1,1,num,,,,
net_buffer_length,if (val < (longlong)global_system_variables.net_buffer_length),n,1,1,num,,,,
ngram_token_size,if (n_chars == ngram_token_size),n,1,1,num,,,,
ngram_token_size,if (bool_info->trunc && token_size < ngram_token_size),n,1,2,num,,,,
optimizer_switch,if (thd->optimizer_switch_flag(OPTIMIZER_SWITCH_MRR_COST_BASED) && !force_dsmrr_by_hints),n,1,1,enum,,,,
optimizer_switch,if (args & OPTIMIZER_SWITCH_FIRSTMATCH),n,1,0,enum,,,,
optimizer_switch,if (args & OPTIMIZER_SWITCH_LOOSE_SCAN),n,1,0,enum,,,,
optimizer_switch,if (args & OPTIMIZER_SWITCH_MATERIALIZATION),n,1,0,enum,,,,
optimizer_switch,if (args & OPTIMIZER_SWITCH_DUPSWEEDOUT),n,1,0,enum,,,,
optimizer_switch,if (conds &&thd->optimizer_switch_flag(OPTIMIZER_SWITCH_ENGINE_CONDITION_PUSHDOWN)),n,1,1,enum,,,,
